Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;10;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;12;;2;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;14;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;16;;2;SENAC - SERVIÇO NACIONAL DO COMÉRCIO;RUA PEDRO BRASIL, N 210;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;17;;1;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;21;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;28;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;38;;1;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;62;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;67;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;80;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;81;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;82;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;84;;1;EMEF MARIA SOARES DE FREITAS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;95;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;96;;2;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;97;;2;EMEF JOSE CAMARA DE ALMEIDA;AV CLOVIS HOLANDA DE FREITAS, S/N;PAU POMBO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;109;;1;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;125;;2;CEI MARIA ELCIR BRITO DE LIMA;RUA JOÃO DE CASTRO, 59;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;129;;1;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;148;;1;EMEF RAIMUNDO RAMOS DA COSTA;SITIO ARACAS;ARACAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;158;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;161;;1;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;170;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;171;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;173;;2;EMEF CLARENCIO CRISOSTOMO FREITAS;RODOVIA CE 040 SN ( SITIO  MEU CANTINHO);PATACAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;185;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;208;;2;CEI MARIA ELCIR BRITO DE LIMA;RUA JOÃO DE CASTRO, 59;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;211;;2;EMEF MARIA MARGARIDA RAMOS COELHO;RUA JOÃO DE CASTRO S/N;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;225;;2;EMEF MARIA MARGARIDA RAMOS COELHO;RUA JOÃO DE CASTRO S/N;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;231;;2;ESCOLA FERDINANDO TANSI (SUBSTITUTA DA ESCOLA FCO. VIDAL CAMARA);COMUNIDADE DO PIAU;PICAO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;237;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;248;;1;EMEF MARIA FACANHA DE SÁ;RUA VIA COLETORA - LITORANEA II  N 2435;PORTO DAS DUNAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;266;;3;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;270;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;271;;2;RAIMUNDA DE FREITAS FAÇANHA CEI (CRECHE CHACARA DA PRAINHA);AV JOSILEUDO LEITE S/N;CHACARA DA PRAINHA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;275;;1;EMEF LAGOA DE CIMA;PV LAGOA DE CIMA DISTRITO PATACAS;PATACAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;277;;2;EMEF MARIA SOARES DE FREITAS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;278;;2;EMEF MARIA MARGARIDA RAMOS COELHO;RUA JOÃO DE CASTRO S/N;DIVINEIA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;286;;2;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;294;;1;EEFM CEL OSVALDO STUDART;RUA CEL OSVALDO STUDART 117 CENTRO;IGUAPE;
2024;1;AQUIRAZ;27444;ANAÍLA DO DR CLÁUDIO;66;296;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
