Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;1;;1;ASSOCIAÇÃO DOS MORADORES DO SÍTIO ZÉ MARIA;SITIO ZE MARIA;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;12;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;17;;2;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;19;;2;EMEF CLARENCIO CRISOSTOMO FREITAS;RODOVIA CE 040 SN ( SITIO  MEU CANTINHO);PATACAS;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;21;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;27;121;5;EMEF JUVENAL PEREIRA FACANHA;ESTRADA COLUNA - CASCAVEL;PREAOCA;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;41;330;1;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;62;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;63;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;13456;IVANILSON VANVAN;66;65;;9;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
