Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;1;;2;ASSOCIAÇÃO DOS MORADORES DO SÍTIO ZÉ MARIA;SITIO ZE MARIA;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;10;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;11;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;14;;2;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;16;;3;SENAC - SERVIÇO NACIONAL DO COMÉRCIO;RUA PEDRO BRASIL, N 210;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;17;;2;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;18;;4;EMEF DE BATOQUE;PRAIA DO BATOQUE SN;BATOQUE;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;19;;13;EMEF CLARENCIO CRISOSTOMO FREITAS;RODOVIA CE 040 SN ( SITIO  MEU CANTINHO);PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;20;;16;EMEF CLARENCIO CRISOSTOMO FREITAS;RODOVIA CE 040 SN ( SITIO  MEU CANTINHO);PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;21;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;22;;16;EMEF LEOLINA BATISTA RAMOS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;27;121;1;EMEF JUVENAL PEREIRA FACANHA;ESTRADA COLUNA - CASCAVEL;PREAOCA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;28;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;36;;1;EMEF CEL FRANCISCO GOMES FARIAS;POVOADO DE  CARACARA ESTRADA DO BATOQUE SN;CARACARA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;37;;1;ESCOLA FERDINANDO TANSI (SUBSTITUTA DA ESCOLA FCO. VIDAL CAMARA);COMUNIDADE DO PIAU;PICAO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;38;;2;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;39;;1;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;40;;1;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;42;;1;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;47;118;1;EMEF ISIDORO DE SOUSA ASSUNCAO (ABC);RUA RUFINO CORREIA DE ASSUNCAO S/N;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;48;49;12;EMEF MINISTRO JARBAS PASSARINHO;RODOVIA CE 040 - CAJUEIRO DO MINISTRO;CAJUEIRO DO MINISTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;50;144;18;EMEF MINISTRO JARBAS PASSARINHO;RODOVIA CE 040 - CAJUEIRO DO MINISTRO;CAJUEIRO DO MINISTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;51;;4;EMEF JOAO JAIME GADELHA;ESTRADA AROEIRA;AROEIRAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;58;;1;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;59;;4;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;62;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;63;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;65;;2;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;66;;2;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;67;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;79;;8;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;80;;2;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;81;;1;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;82;;2;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;83;;24;EMEF MARIA SOARES DE FREITAS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;84;;22;EMEF MARIA SOARES DE FREITAS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;91;;1;CENTRO DE EVANGELIZAÇÃO SÃO JUDAS TADEU;RUA CORONEL OSVALDO STUDART S/N - JACAÚNA;IGUAPE;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;92;;1;CENTRO DE EVANGELIZAÇÃO SÃO JUDAS TADEU;RUA CORONEL OSVALDO STUDART S/N - JACAÚNA;IGUAPE;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;93;;1;EEFM CEL OSVALDO STUDART;RUA CEL OSVALDO STUDART 117 CENTRO;IGUAPE;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;94;;4;CENTRO DE REABILITAÇÃO FÍSICA - PSF - FAGUNDES;CE-453 N 98;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;95;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;96;;1;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;104;;21;EMEF LEOLINA BATISTA RAMOS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;105;;16;EMEF LEOLINA BATISTA RAMOS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;106;;6;EMEF JOAO JAIME GADELHA;ESTRADA AROEIRA;AROEIRAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;109;;4;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;110;;1;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;111;;1;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;112;;2;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;120;;3;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;123;;14;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;124;;1;EMEF VINDINA ASSUNCAO DE AQUINO;AV PETRONILIA PEREIRA S/N;SITIO GUARDA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;129;;1;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;130;;2;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;133;;1;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;139;;4;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;148;;65;EMEF RAIMUNDO RAMOS DA COSTA;SITIO ARACAS;ARACAS;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;149;;3;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;152;;3;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;25222;PEDRINHO MECÂNICO;66;153;;1;EMEF DIONIZIA GUERRA;RUA LUIS PAULA DE SOUSA S/N (ESTRADA NOVA BR-116 KM 32);JUSTINIANO DE SERPA;
