Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;AQUIRAZ;25444;PENINHA;66;1;;2;ASSOCIAÇÃO DOS MORADORES DO SÍTIO ZÉ MARIA;SITIO ZE MARIA;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25444;PENINHA;66;10;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;11;;3;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;12;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;13;;6;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;14;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;15;;8;CEI JOSE NICODEMUS DE ASSUNÇAO;RUA RAIMUNDO NONATO ASSUNÇAO S/N;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25444;PENINHA;66;16;;4;SENAC - SERVIÇO NACIONAL DO COMÉRCIO;RUA PEDRO BRASIL, N 210;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;17;;3;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;21;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25444;PENINHA;66;28;;5;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;34;;4;EMEF FRANCISCO DA SILVA SAMPAIO;ESTRADA DO FIO TELEGRAFO;TUPUIU;
2024;1;AQUIRAZ;25444;PENINHA;66;35;;3;EMEF FRANCISCO DA SILVA SAMPAIO;ESTRADA DO FIO TELEGRAFO;TUPUIU;
2024;1;AQUIRAZ;25444;PENINHA;66;36;;5;EMEF CEL FRANCISCO GOMES FARIAS;POVOADO DE  CARACARA ESTRADA DO BATOQUE SN;CARACARA;
2024;1;AQUIRAZ;25444;PENINHA;66;37;;4;ESCOLA FERDINANDO TANSI (SUBSTITUTA DA ESCOLA FCO. VIDAL CAMARA);COMUNIDADE DO PIAU;PICAO;
2024;1;AQUIRAZ;25444;PENINHA;66;38;;3;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;25444;PENINHA;66;39;;2;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;25444;PENINHA;66;40;;4;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;25444;PENINHA;66;41;330;1;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;25444;PENINHA;66;42;;5;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;25444;PENINHA;66;47;118;3;EMEF ISIDORO DE SOUSA ASSUNCAO (ABC);RUA RUFINO CORREIA DE ASSUNCAO S/N;JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25444;PENINHA;66;48;49;1;EMEF MINISTRO JARBAS PASSARINHO;RODOVIA CE 040 - CAJUEIRO DO MINISTRO;CAJUEIRO DO MINISTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;50;144;1;EMEF MINISTRO JARBAS PASSARINHO;RODOVIA CE 040 - CAJUEIRO DO MINISTRO;CAJUEIRO DO MINISTRO;
2024;1;AQUIRAZ;25444;PENINHA;66;52;;65;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;25444;PENINHA;66;53;;51;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;25444;PENINHA;66;54;319;56;EMEF JOAQUIM DE SOUZA TAVARES;ESTRADA NOVA S/N - BOA VISTA;BOA VISTA;
2024;1;AQUIRAZ;25444;PENINHA;66;55;;65;CEI ALDENORA CARDOSO PORTO;RUA JOSE AMORA MOREIRA, S/N;TELHA-CAMARA;
2024;1;AQUIRAZ;25444;PENINHA;66;56;;60;CEI ALDENORA CARDOSO PORTO;RUA JOSE AMORA MOREIRA, S/N;TELHA-CAMARA;
2024;1;AQUIRAZ;25444;PENINHA;66;57;;2;EMEF JOSE RAIMUNDO DA COSTA (COMUNIDADE QUILOMBOLA);ESTRADA RAMOS -SITIO  RUSSEGA - LAGOA DO RAMOS;LAGOA DO RAMO;
2024;1;AQUIRAZ;25444;PENINHA;66;60;;4;EMEF DIONIZIA GUERRA;RUA LUIS PAULA DE SOUSA S/N (ESTRADA NOVA BR-116 KM 32);JUSTINIANO DE SERPA;
2024;1;AQUIRAZ;25444;PENINHA;66;61;351;53;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;25444;PENINHA;66;62;;1;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25444;PENINHA;66;63;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;25444;PENINHA;66;64;;74;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;25444;PENINHA;66;65;;3;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;25444;PENINHA;66;66;;30;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;25444;PENINHA;66;67;;32;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;25444;PENINHA;66;68;;29;EMEF JOSE FERREIRA DA COSTA;RUA MANOEL FERREIRA DA COSTA, SN;SANTA MARIA;
2024;1;AQUIRAZ;25444;PENINHA;66;69;;27;EMEF JOSE FERREIRA DA COSTA;RUA MANOEL FERREIRA DA COSTA, SN;SANTA MARIA;
