Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;11;;5;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;13;;1;EMEF LAIS SIDRIM TARGINO;PRAÇA PADRE MATIAS  N 55;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;16;;5;SENAC - SERVIÇO NACIONAL DO COMÉRCIO;RUA PEDRO BRASIL, N 210;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;17;;2;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;21;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;27;121;1;EMEF JUVENAL PEREIRA FACANHA;ESTRADA COLUNA - CASCAVEL;PREAOCA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;28;;4;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;36;;4;EMEF CEL FRANCISCO GOMES FARIAS;POVOADO DE  CARACARA ESTRADA DO BATOQUE SN;CARACARA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;37;;2;ESCOLA FERDINANDO TANSI (SUBSTITUTA DA ESCOLA FCO. VIDAL CAMARA);COMUNIDADE DO PIAU;PICAO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;38;;1;EMEF GUILHERME JANJA;RODOVIA CE 040 KM 18  S/N;MACHUCA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;39;;1;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;40;;1;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;41;330;3;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;42;;3;EMEF TIA ALZIRA;LAGOA I;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;52;;2;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;53;;1;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;54;319;1;EMEF JOAQUIM DE SOUZA TAVARES;ESTRADA NOVA S/N - BOA VISTA;BOA VISTA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;58;;1;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;62;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;63;;2;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;65;;2;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;66;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;67;;1;EMEF MANOEL ASSUNCAO PIRES;RUA PRINCIPAL S/N;GENIPAPEIRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;80;;12;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;81;;8;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;82;;10;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;84;;1;EMEF MARIA SOARES DE FREITAS;AV JOSUE LEITE DE FREITAS S/N;PATACAS;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;89;;1;CENTRO DE EDUCAÇÃO E CIDADANIA MARIA DE CASTRO BERNARDO;RUA JOSE ADAMOR ABREU, S/N - DISTRITO JOAO DE CASTRO;TAPUIO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;90;;1;CENTRO DE EDUCAÇÃO E CIDADANIA MARIA DE CASTRO BERNARDO;RUA JOSE ADAMOR ABREU, S/N - DISTRITO JOAO DE CASTRO;TAPUIO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;92;;1;CENTRO DE EVANGELIZAÇÃO SÃO JUDAS TADEU;RUA CORONEL OSVALDO STUDART S/N - JACAÚNA;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;93;;2;EEFM CEL OSVALDO STUDART;RUA CEL OSVALDO STUDART 117 CENTRO;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;94;;1;CENTRO DE REABILITAÇÃO FÍSICA - PSF - FAGUNDES;CE-453 N 98;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;95;;1;EMEF ERNESTO GURGEL VALENTE;RUA FRANCISCO CAMARA, SN;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;96;;3;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;97;;1;EMEF JOSE CAMARA DE ALMEIDA;AV CLOVIS HOLANDA DE FREITAS, S/N;PAU POMBO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;99;;1;EMEF JOAO PIRES CARDOSO;RUA ALDENORA CARDOSO SN;CAMARA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;107;;1;EMEFJUSCELINO KUBITSCHEK;AV ANTONIO LOURENÇO DA SILVA S/N;CAPONGA DA BERNARDA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;108;;1;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;109;;2;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;110;;1;EEB RAIMUNDO TOMAZ;RUA JOSE CARLOS GADELHA S/N;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;120;;4;ESCOLA DE EDUCAÇÃO PROFISSIONAL PROFESSORA ALDA FAÇANHA;AVENIDA NOSSA SENHORA DE LOURDES, S/N;DIVINEIA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;122;;1;EEFM CEL OSVALDO STUDART;RUA CEL OSVALDO STUDART 117 CENTRO;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;125;;1;CEI MARIA ELCIR BRITO DE LIMA;RUA JOÃO DE CASTRO, 59;DIVINEIA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;127;;4;EEFM CEL OSVALDO STUDART;RUA CEL OSVALDO STUDART 117 CENTRO;IGUAPE;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;129;;7;ESCOLA DE ENSINO MEDIO TELINA MATOS PIRES;RUA FRANCISCO CAMARA,  70;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;130;;1;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;148;;1;EMEF RAIMUNDO RAMOS DA COSTA;SITIO ARACAS;ARACAS;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;149;;3;EMEF PLACIDO CASTELO;RUA ASSIS BENTO DE FREITAS, 970 - BARRINHA;TAPERA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;156;;1;EMEF JOSE CAMARA DE ALMEIDA;AV CLOVIS HOLANDA DE FREITAS, S/N;PAU POMBO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;158;;12;EMEF RITA PAULA;AV. DAMIÃO TAVARES  DE SOUSA, S/N;PRAINHA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;161;;3;ESCOLA DE ENSINO MEDIO LIA SIDOU;RUA VIRGILIO COELHO N  693;CENTRO;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;162;350;2;EMEF HENRIQUE GONCALVES DA JUSTA FILHO;RUA ANTONIO MELQUIADES LIMA S/N;JACUNDA;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;163;;1;EMEF JOAO JAIME GADELHA;ESTRADA AROEIRA;AROEIRAS;
2024;1;AQUIRAZ;27700;TEREZINHA QUEIROZ;66;164;;1;CENTRO DE REABILITAÇÃO FÍSICA - PSF - FAGUNDES;CE-453 N 98;TAPERA;
